medium;description;compound;bigg_id;formula;exchange_flux
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Ca2+;ca2;Ca;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Cl-;cl;Cl;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Co2+;cobalt2;Co;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Cu2+;cu2;Cu;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Fe2+;fe2;Fe;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Fe3+;fe3;Fe;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;D-Glucose;glc__D;C6H12O6;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;H2O;h2o;H2O;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;H+;h;H;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;K+;k;K;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Mg;mg2;Mg;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Mn2+;mn2;Mn;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Molybdate;mobd;MoO4;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Na+;na1;Na;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Ammonium;nh4;NH4;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Ni2+;ni2;Ni;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;O2;o2;O2;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Phosphate;pi;HO4P;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Sulfate;so4;SO4;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;Zn2+;zn2;Zn;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;C6H8O7 (Citric acid);cit;C6H8O7;
M9;M9_medium (minimal medium) based on protocol from Heilbronner lab;H3BO3;;H3BO3;
LB;Lysogeny broth (from CarveMe);Adenosine;adn;C10H13N5O4;2.5
LB;Lysogeny broth (from CarveMe);L-Alanine;ala__L;C3H7NO2;2.5
LB;Lysogeny broth (from CarveMe);AMP;amp;C10H12N5O7P;2.5
LB;Lysogeny broth (from CarveMe);L-Arginine;arg__L;C6H15N4O2;2.5
